Report Date,Report Time,Dead Storage (MCM),Design Live Storage (MCM),Design Gross Storage (MCM),Current Live Storage (MCM),Current Gross Storage (MCM),Current Live Storage (%),Last Year Storage (%),Status,Dam Name
07/09/2026,05:56 स.,30.0,55.91,85.91,55.91,85.91,100.0,98.41,Success,Khadakwasla
07/09/2026,07:07 स.,230.0,522.76,752.76,522.76,780.63,100.0,100.0,Success,Mulshi
07/09/2026,07:15 स.,9.0,301.61,310.61,301.61,310.61,100.0,100.0,Success,Panshet
07/09/2026,05:46 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
06/09/2026,07:57 स.,30.0,55.91,85.91,55.91,85.91,100.0,98.91,Success,Khadakwasla
06/09/2026,06:57 स.,230.0,522.76,752.76,522.76,780.63,100.0,100.0,Success,Mulshi
06/09/2026,07:56 स.,9.0,301.61,310.61,301.61,310.61,100.0,100.0,Success,Panshet
06/09/2026,05:39 स.,2.95,105.01,107.96,103.58,106.53,98.64,100.0,Success,Temghar
05/09/2026,06:22 स.,30.0,55.91,85.91,55.91,85.91,100.0,98.66,Success,Khadakwasla
05/09/2026,07:21 स.,9.0,301.61,310.61,301.61,310.61,100.0,100.0,Success,Panshet
05/09/2026,05:40 स.,2.95,105.01,107.96,103.58,106.53,98.64,100.0,Success,Temghar
04/09/2026,06:26 स.,0.21,104.48,104.69,104.48,104.69,100.0,96.39,Success,Gunjawani
04/09/2026,06:26 स.,0.21,104.48,104.69,104.48,104.69,100.0,96.39,Success,Gunjawani
04/09/2026,06:26 स.,0.21,104.48,104.69,104.48,104.69,100.0,96.39,Success,Gunjawani
04/09/2026,06:26 स.,0.21,104.48,104.69,104.48,104.69,100.0,96.39,Success,Gunjawani
04/09/2026,06:51 स.,30.0,55.91,85.91,55.91,85.91,100.0,97.6,Success,Khadakwasla
04/09/2026,07:00 स.,230.0,522.76,752.76,522.76,782.55,100.0,100.0,Success,Mulshi
04/09/2026,07:00 स.,230.0,522.76,752.76,522.76,782.55,100.0,100.0,Success,Mulshi
04/09/2026,08:05 स.,9.0,301.61,310.61,301.61,310.61,100.0,99.96,Success,Panshet
04/09/2026,06:12 स.,2.95,105.01,107.96,103.58,106.53,98.64,100.0,Success,Temghar
03/09/2026,06:04 स.,30.0,55.91,85.91,55.91,85.91,100.0,93.57,Success,Khadakwasla
03/09/2026,07:00 स.,230.0,522.76,752.76,522.76,783.03,100.0,100.0,Success,Mulshi
03/09/2026,07:45 स.,9.0,301.61,310.61,301.61,310.61,100.0,99.96,Success,Panshet
03/09/2026,05:37 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
02/09/2026,07:51 स.,0.21,104.48,104.69,104.48,104.69,100.0,95.8,Success,Gunjawani
02/09/2026,07:51 स.,0.21,104.48,104.69,104.48,104.69,100.0,95.8,Success,Gunjawani
02/09/2026,05:56 स.,30.0,55.91,85.91,55.91,85.91,100.0,89.23,Success,Khadakwasla
02/09/2026,07:00 स.,230.0,522.76,752.76,522.76,782.55,100.0,100.0,Success,Mulshi
02/09/2026,08:02 स.,9.0,301.61,310.61,301.61,310.61,100.0,99.56,Success,Panshet
02/09/2026,05:37 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
01/09/2026,06:40 स.,0.21,104.48,104.69,103.18,103.39,98.76,95.8,Success,Gunjawani
01/09/2026,06:19 स.,30.0,55.91,85.91,55.91,85.91,100.0,80.13,Success,Khadakwasla
01/09/2026,07:00 स.,230.0,522.76,752.76,522.76,783.99,100.0,100.0,Success,Mulshi
01/09/2026,07:40 स.,9.0,301.61,310.61,301.61,310.61,100.0,99.31,Success,Panshet
31/08/2026,07:52 स.,30.0,55.91,85.91,55.91,85.91,100.0,79.11,Success,Khadakwasla
31/08/2026,07:00 स.,230.0,522.76,752.76,522.76,785.91,100.0,100.0,Success,Mulshi
31/08/2026,05:40 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
31/08/2026,05:40 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
30/08/2026,05:57 स.,30.0,55.91,85.91,55.91,85.91,100.0,76.12,Success,Khadakwasla
30/08/2026,05:39 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
29/08/2026,10:49 स.,0.21,104.48,104.69,101.33,101.54,96.99,95.8,Success,Gunjawani
29/08/2026,10:49 स.,0.21,104.48,104.69,101.33,101.54,96.99,95.8,Success,Gunjawani
29/08/2026,06:04 स.,30.0,55.91,85.91,55.91,85.91,100.0,76.37,Success,Khadakwasla
29/08/2026,07:00 स.,230.0,522.76,752.76,522.76,784.47,100.0,100.0,Success,Mulshi
29/08/2026,07:00 स.,230.0,522.76,752.76,522.76,784.47,100.0,100.0,Success,Mulshi
29/08/2026,05:14 स.,2.95,105.01,107.96,104.53,107.48,99.54,100.0,Success,Temghar
28/08/2026,01:43 स.,ं,0.21,104.48,104.69,100.71,100.92,96.39,Success,Gunjawani
28/08/2026,07:25 स.,9.0,301.61,310.61,301.61,310.61,100.0,98.68,Success,Panshet
28/08/2026,07:25 स.,9.0,301.61,310.61,301.61,310.61,100.0,98.68,Success,Panshet
28/08/2026,07:25 स.,9.0,301.61,310.61,301.61,310.61,100.0,98.68,Success,Panshet
